Stream,Month,Perlidae-Anacroneuria,Coenagrionidae,Baetidae,Caenidae-Caenis,Ceratopogonidae,Chironominae,Elmidae,Empididae,Gomphidae-Epigomphus,Leptophebiidae,Gyrinidae,Leptohyphidae,Calopterygidae-Hetaerina,Hydroptilidae,Hydropsychidae,Libellulidae,Heteragrionidae,Leptoceridae-Nectopsyche,Nematomorpha,Oligochaeta,Orthocladiinae,Ostracoda,Calamoceratidae-Phylloicus,Planariidae-Dugesia,Polycentropodidae-Polycentropus,Scirtidae,Simuliidae-Simulium,Tanypodinae,Tanytarsini
Arboleda_30,1,1,1,1,2,3,12.25,4.5,0,0,4.5,0,18.83333333,0,2,0,1,1,0,0,6.666666667,1,0,0,0,0,1,0,24.33333333,16.66666667
Arboleda_30,3,0,1,0,1,1,12.5,4.333333333,0,0,2,1,2,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,1.666666667,2
Arboleda_30,6,0,1,0,1.333333333,0,5.833333333,9.333333333,0,0,8,0,2.5,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,6,1.5
Arboleda_30,12,0,1,2,0,0,1,5.2,0,0,2,1,2.75,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,5.333333333,1
Arboleda_30,24,2,1,0,0,0,2,11.75,0,0,4.75,0,15.5,0,1,4.5,0,0,0,0,0,1,0,0,0,1,0,0,7,1
Piper,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Piper,3,0,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,1
Piper,6,0,0,0,0,1.5,2,1,0,1,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3.333333333,2.5
Piper,12,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1
Piper,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Saltito_60,1,4,0,0,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
Saltito_60,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Saltito_60,6,0,0,0,2,0,17,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1
Saltito_60,12,0,0,0,0,1,2.333333333,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Saltito_60,24,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
Sura_30,1,6,0,0,0,2.5,9.333333333,15.8,0,0,9.75,0,18,0,10,11.83333333,4,0,0,0,0,11,0,0,0,2,0,2.333333333,4.333333333,4
Sura_30,3,3,0,0,0,1,18.33333333,10,1,0,2,0,4.5,0,2,10,0,0,0,0,3.5,2.5,0,0,1,0,1,0,1.666666667,30
Sura_30,6,1.5,1,0,1,0,21.66666667,13,1,0,14,0,15.5,0,8,15,1,1,0,0,2,3,0,0,0,0,0,0,5,14
Sura_30,12,0,0,0,0,1,4,6.666666667,0,0,6,0,18,0,0,9.666666667,0,1,1,0,2,1,0,0,0,2,0,1,2,1.5
Sura_30,24,1.25,1,0,1,0,3.666666667,16.33333333,0,0,17.33333333,1,61.66666667,1,2,16.66666667,3,0,0,0,0,1,0,0,0,0,1,1,5.666666667,2
Taconazo_30,1,0,1,0,0,1.5,8.666666667,1.333333333,0,0,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.25,2.5
Taconazo_30,3,0,0,0,0,1,2,3,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,4,1
Taconazo_30,6,1,0,0,0,2,6,1.666666667,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0
Taconazo_30,12,0,0,0,0,3,2,2.333333333,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Taconazo_30,24,0,0,0,0,4.5,2,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5,1.333333333
